Local          | Remote         | Time (UTC)
---------------|----------------|---------------------
               | 20260520000000 | captured 2026-08-10
20260521083057 | 20260521083057 | captured 2026-08-10
20260521083115 | 20260521083115 | captured 2026-08-10
20260521204108 | 20260521204108 | captured 2026-08-10
20260523 | 20260523       | captured 2026-08-10
20260523000001 | 20260523000001 | captured 2026-08-10
20260525210349 | 20260525210349 | captured 2026-08-10
20260531 | 20260531       | captured 2026-08-10
20260531120000 | 20260531120000 | captured 2026-08-10
20260619 | 20260619       | captured 2026-08-10
20260619000001 | 20260619000001 | captured 2026-08-10
20260624 | 20260624       | captured 2026-08-10
20260626100000 | 20260626100000 | captured 2026-08-10
20260626110000 | 20260626110000 | captured 2026-08-10
20260626120000 | 20260626120000 | captured 2026-08-10
20260630 | 20260630       | captured 2026-08-10
20260701130000 | 20260701130000 | captured 2026-08-10
20260701140000 | 20260701140000 | captured 2026-08-10
20260705150000 | 20260705150000 | captured 2026-08-10
20260705160000 | 20260705160000 | captured 2026-08-10
20260705180000 | 20260705180000 | captured 2026-08-10
20260707120000 | 20260707120000 | captured 2026-08-10
20260708120000 | 20260708120000 | captured 2026-08-10
20260708130000 | 20260708130000 | captured 2026-08-10
20260708140000 | 20260708140000 | captured 2026-08-10
20260709060000 | 20260709060000 | captured 2026-08-10
20260709070000 | 20260709070000 | captured 2026-08-10
20260709080000 | 20260709080000 | captured 2026-08-10
20260711090000 | 20260711090000 | captured 2026-08-10
20260711120000 | 20260711120000 | captured 2026-08-10
20260713120000 | 20260713120000 | captured 2026-08-10
20260715090000 | 20260715090000 | captured 2026-08-10
20260715110000 | 20260715110000 | captured 2026-08-10
20260715130000 | 20260715130000 | captured 2026-08-10
20260716180000 | 20260716180000 | captured 2026-08-10
20260717090000 | 20260717090000 | captured 2026-08-10
20260717162232 | 20260717162232 | captured 2026-08-10
20260717162241 | 20260717162241 | captured 2026-08-10
20260717214543 | 20260717214543 | captured 2026-08-10
20260717215951 | 20260717215951 | captured 2026-08-10
20260717220005 | 20260717220005 | captured 2026-08-10
20260718054252 | 20260718054252 | captured 2026-08-10
20260718054908 | 20260718054908 | captured 2026-08-10
20260718062000 | 20260718062000 | captured 2026-08-10
20260718072516 | 20260718072516 | captured 2026-08-10
